18235874, 24067164
6474536, 7384494
2720796, 3900751
5299906, 6526875
3950610, 4790446
5460044, 6540932
3721632, 4767094
12257651, 13399657
2446700, 3612695
12638682, 16988951
4549991, 5379783
1483974, 2262808
2232415, 3254321
7833298, 16058216
5771654, 7056093
3693322, 4814456
42401293, 44066221
3201084, 4191803
6468461, 7951504
4664469, 5448037
23852160, 25267617
17817407, 19798318
2457333, 3373248
1623852, 2484513
2614642, 3356883
12172685, 13148796
6076569, 7474381
3216823, 5844858
1732988, 2467318
5534872, 6475084
2354401, 3426667
2263190, 3118132
7406126, 9340215
2857314, 4711608
10694612, 13512020
15353287, 17562950
1776850, 2817492
4236601, 5406822
101891065, 103137102
42442171, 43266564
142900057, 143843028
97636756, 100443926
31518616, 37091875
3775953, 6849941
6817002, 9316260
11648154, 11879069
17673120, 18984160
1748596, 17168117
1749216, 2845580
4234263, 5569940
3067702, 10257503
30165467, 30953877
10688935, 13122057
5566793, 9648767
12761003, 32423378
11550872, 16948027
43158131, 45187579
33370835, 35571496
40951155, 41587005
67365395, 70476749
65540988, 70378702
6864324, 7106820
8676372, 9263701
12372192, 12941051
8416235, 8749362
12000621, 14758197
22064043, 23208853
2283862, 3160558
4032556, 5075827
2777983, 3710670
2155757, 3043795
2462453, 4237768
4884997, 5214358
8915133, 11299545
5943464, 8710119
11618179, 13500325
1575225, 1893677
3783498, 4569833
10363592, 11324988
5194502, 5984819
2825384, 3533888
2648377, 3462093
3202600, 4663724
5885385, 8178923
5973395, 7783303
8793305, 11087980
4096986, 4899054
4649103, 9052679
5235279, 6604463
1436594, 2038476
3694783, 4546841
1602911, 2357479
1403534, 2208970
36373461, 40519542
2081860, 2839254
2279775, 3239285
2823971, 4160921
5112633, 6683875
6745139, 7678512
2709867, 3632733
1477383, 3166280
6554122, 8287744
7676693, 10485318
1839924, 2608662
2015474, 2979868
4289707, 4938467
3055632, 3476613
6116080, 6563011
10612866, 11841193
1951936, 12895183
7992285, 9580189
5611566, 8182355
1462000, 2083730
1437377, 2215499
75354540, 86203239
2063712, 2908845
2383635, 3245993
4433732, 4796981
3535321, 4477754
1917392, 8644051
8695206, 10291801
1422446, 2159550
1728127, 2099898
3998119, 4926429
1819254, 2673530
1445751, 2240452
2583048, 3430322
1878906, 3126751
2800769, 3662149
1540500, 4476177
1625483, 2810014
2383729, 3296161
1350318, 4513778
1815003, 2555782
2731416, 3724198
37675646, 40862847
5139086, 6072072
1817513, 2688033
4527018, 5538278
